transaction_id,utr_number,settlement_batch_id,bank_status,settlement_date,settled_amount,bank_remarks
TXN100050,UTR386315778884,BATCH48557,pending,2026-03-22T12:36:00,2499.57,Normal T+2 settlement window
TXN100051,UTR816698057787,BATCH24996,settled,2026-02-05T09:39:00,4999.08,Settlement completed
TXN100052,UTR251501877437,BATCH99984,settled,2026-04-30T23:18:00,149.64,Settlement completed
TXN100053,UTR507975679526,BATCH62948,settled,2026-01-05T05:01:00,499.75,Settlement completed
TXN100054,UTR247790820298,BATCH45274,settled,2026-06-11T05:21:00,1499.59,Settlement completed
TXN100055,UTR436015657758,BATCH52401,pending,2026-05-21T15:03:00,799.33,Normal T+2 settlement window
TXN100056,UTR697980087636,BATCH23792,pending,2026-05-29T12:49:00,149.00,Normal T+2 settlement window
TXN100057,UTR885388176572,BATCH98873,settled,2026-02-17T00:11:00,299.48,Settlement completed
TXN100058,UTR504889822874,BATCH76157,settled,2026-01-18T20:35:00,7999.26,Settlement completed
TXN100059,UTR577234634838,BATCH82424,settled,2026-01-26T06:14:00,799.24,Settlement completed
TXN100060,UTR973377789203,BATCH74079,settled,2026-04-19T11:54:00,299.14,Settlement completed
TXN100061,UTR560959923633,BATCH50320,rejected,2026-05-16T08:21:00,4999.51,Invalid beneficiary account
TXN100062,UTR791812943694,BATCH80132,rejected,2026-03-27T19:04:00,4999.00,Invalid beneficiary account
TXN100063,UTR643418543920,BATCH68563,rejected,2026-01-05T15:06:00,499.03,Invalid beneficiary account
TXN100064,UTR782337415397,BATCH68979,pending,2026-04-21T02:19:00,299.29,Normal T+2 settlement window
TXN100065,UTR867626848618,BATCH25836,pending,2026-03-06T10:25:00,999.29,Normal T+2 settlement window
TXN100066,UTR210012579896,BATCH33121,settled,2026-03-16T11:36:00,799.69,Settlement completed
TXN100067,UTR776065676953,BATCH64555,settled,2026-03-27T11:43:00,499.92,Settlement completed
TXN100068,UTR597139541120,BATCH25784,pending,2026-06-07T20:06:00,149.78,Normal T+2 settlement window
TXN100069,UTR554857644524,BATCH52747,settled,2026-04-09T19:40:00,299.04,Settlement completed
TXN100071,UTR331995707740,BATCH31453,pending,2026-04-22T22:37:00,2499.27,Normal T+2 settlement window
TXN100072,UTR741073450010,BATCH27831,settled,2026-04-14T00:02:00,499.09,Settlement completed
TXN100073,UTR408057856813,BATCH77489,settled,2026-05-22T09:20:00,799.88,Settlement completed
TXN100074,UTR330264072516,BATCH21657,settled,2026-02-25T22:50:00,2499.94,Settlement completed
TXN100075,UTR271581353516,BATCH75513,pending,2026-03-16T05:42:00,999.56,Normal T+2 settlement window
TXN100076,UTR561429927965,BATCH78282,settled,2026-05-21T00:13:00,1499.57,Settlement completed
TXN100077,UTR237159392198,BATCH15489,settled,2026-05-08T20:29:00,799.94,Settlement completed
TXN100078,UTR861298975827,BATCH96623,settled,2026-03-17T09:21:00,7999.19,Settlement completed
TXN100079,UTR151266460425,BATCH29890,settled,2026-06-10T14:04:00,7999.32,Settlement completed
TXN100080,UTR500931190379,BATCH15587,pending,2026-02-27T10:51:00,499.72,Normal T+2 settlement window
TXN100081,UTR668354945325,BATCH31107,settled,2026-03-12T22:37:00,7999.34,Settlement completed
TXN100082,UTR225207427645,BATCH94372,pending,2026-05-20T15:00:00,2499.50,Normal T+2 settlement window
TXN100083,UTR847494059742,BATCH33623,settled,2026-05-28T06:45:00,7999.12,Settlement completed
TXN100085,UTR291586968897,BATCH64349,settled,2026-01-06T13:42:00,499.28,Settlement completed
TXN100086,UTR623932291633,BATCH30249,settled,2026-04-20T03:22:00,4999.64,Original settlement completed; refund initiated
TXN100087,UTR814685056268,BATCH40670,settled,2026-02-18T10:03:00,2499.41,Settlement completed
TXN100089,UTR609120549505,BATCH36595,rejected,2026-05-08T18:04:00,999.03,Invalid beneficiary account
TXN100090,UTR806989271592,BATCH77210,rejected,2026-03-28T06:15:00,7999.77,Invalid beneficiary account
TXN100091,UTR676277822347,BATCH55843,settled,2026-03-01T01:24:00,1499.25,Settlement completed
TXN100092,UTR906545407668,BATCH27857,settled,2026-05-23T11:04:00,799.05,Settlement completed
TXN100094,UTR393387047342,BATCH12440,settled,2026-03-23T13:09:00,2499.50,Settlement completed
TXN100095,UTR874811231254,BATCH11729,settled,2026-02-21T23:33:00,999.71,Settlement completed
TXN100096,UTR129214646547,BATCH74885,settled,2026-01-24T22:51:00,499.58,Settlement completed
TXN100097,UTR840302221338,BATCH73398,settled,2026-04-19T17:13:00,2499.16,Settlement completed
TXN100098,UTR869458286040,BATCH88868,settled,2026-04-14T04:39:00,499.26,Settlement completed
TXN100099,UTR548007313014,BATCH81572,settled,2026-03-22T18:50:00,7999.74,Original settlement completed; refund initiated
TXN100100,UTR289246466072,BATCH61393,settled,2026-03-06T15:39:00,299.08,Settlement completed
TXN100101,UTR953666339410,BATCH34940,settled,2026-05-23T22:10:00,799.07,Settlement completed
TXN100102,UTR819642880681,BATCH45553,settled,2026-01-15T03:21:00,999.81,Original settlement completed; refund initiated
TXN100103,UTR455945287163,BATCH19703,settled,2026-04-13T19:12:00,149.03,Settlement completed
TXN100104,UTR815500682066,BATCH19137,settled,2026-02-23T19:52:00,999.75,Settlement completed
TXN100105,UTR606882957262,BATCH89374,settled,2026-06-08T23:21:00,799.13,Settlement completed
TXN100106,UTR778051877270,BATCH94919,settled,2026-02-11T06:55:00,149.29,Settlement completed
TXN100107,UTR802396660416,BATCH39326,rejected,2026-04-18T15:57:00,1499.97,Invalid beneficiary account
TXN100108,UTR311554013365,BATCH95431,pending,2026-03-20T08:19:00,299.11,Normal T+2 settlement window
TXN100109,UTR370975227005,BATCH29144,settled,2026-05-27T20:27:00,2499.77,Settlement completed
TXN100110,UTR626314334434,BATCH44256,settled,2026-03-21T18:48:00,7999.57,Settlement completed
TXN100111,UTR797258985672,BATCH45823,settled,2026-05-09T05:21:00,7999.22,Settlement completed
TXN100112,UTR820237868916,BATCH26622,pending,2026-02-28T05:10:00,799.66,Normal T+2 settlement window
TXN100113,UTR694260923137,BATCH17925,settled,2026-05-18T04:25:00,7999.20,Original settlement completed; refund initiated
TXN100114,UTR567228414351,BATCH27621,settled,2026-05-29T05:06:00,299.82,Settlement completed
TXN100115,UTR624343023009,BATCH24181,pending,2026-04-14T16:47:00,4999.06,Normal T+2 settlement window
TXN100116,UTR657329280046,BATCH11678,settled,2026-05-16T16:54:00,4999.09,Settlement completed
TXN100117,UTR473630447713,BATCH79345,settled,2026-01-13T08:49:00,7999.60,Settlement completed
TXN100118,UTR504108310147,BATCH19784,pending,2026-02-20T20:21:00,799.31,Normal T+2 settlement window
TXN100119,UTR124701939881,BATCH22485,settled,2026-05-17T00:13:00,499.26,Settlement completed
TXN100120,UTR919266322855,BATCH71096,settled,2026-04-26T09:38:00,499.33,Settlement completed
TXN100121,UTR870668096161,BATCH75901,settled,2026-04-01T17:21:00,499.01,Settlement completed
TXN100122,UTR732893169669,BATCH41601,settled,2026-03-12T03:15:00,299.09,Settlement completed
TXN100123,UTR649564358352,BATCH54965,settled,2026-05-26T18:13:00,299.04,Original settlement completed; refund initiated
TXN100124,UTR427275349035,BATCH20988,settled,2026-01-02T19:29:00,799.67,Settlement completed
TXN100125,UTR867786732745,BATCH51101,settled,2026-02-28T06:00:00,7999.51,Settlement completed
TXN100126,UTR872784389390,BATCH72466,pending,2026-02-13T04:21:00,1499.92,Normal T+2 settlement window
TXN100127,UTR443313559757,BATCH53032,settled,2026-05-09T10:45:00,1499.08,Original settlement completed; refund initiated
TXN100129,UTR964863965305,BATCH80880,settled,2026-02-13T10:35:00,4999.98,Settlement completed
TXN100130,UTR637007260732,BATCH87549,settled,2026-05-24T12:46:00,799.90,Settlement completed
TXN100131,UTR354463509140,BATCH45737,pending,2026-05-03T03:12:00,7999.95,Normal T+2 settlement window
TXN100132,UTR169732230184,BATCH93895,settled,2026-01-24T13:31:00,799.82,Settlement completed
TXN100133,UTR896698402946,BATCH48409,settled,2026-04-23T14:37:00,799.03,Settlement completed
TXN100134,UTR520750154753,BATCH99617,settled,2026-03-14T07:54:00,799.06,Settlement completed
TXN100135,UTR685920736610,BATCH45019,settled,2026-01-04T05:10:00,2499.08,Settlement completed
TXN100136,UTR533877584017,BATCH89417,settled,2026-05-09T09:30:00,299.75,Settlement completed
TXN100137,UTR631661154237,BATCH45001,settled,2026-01-19T18:03:00,299.98,Settlement completed
TXN100139,UTR819533169004,BATCH68113,settled,2026-06-11T19:03:00,4999.73,Settlement completed
TXN100140,UTR246304032666,BATCH48865,settled,2026-05-29T11:52:00,499.55,Settlement completed
TXN100141,UTR917450224683,BATCH63586,settled,2026-06-23T10:46:00,2499.27,Settlement completed
TXN100142,UTR664589048492,BATCH99847,settled,2026-04-06T09:48:00,7999.58,Settlement completed
TXN100143,UTR793100672023,BATCH10508,settled,2026-04-15T08:53:00,149.88,Settlement completed
TXN100144,UTR892475270389,BATCH56609,settled,2026-05-14T16:33:00,2499.78,Settlement completed
TXN100146,UTR586273519434,BATCH34679,settled,2026-06-04T21:55:00,499.77,Original settlement completed; refund initiated
TXN100147,UTR590042879477,BATCH33146,settled,2026-05-21T14:26:00,999.52,Settlement completed
TXN100148,UTR254203420438,BATCH44683,settled,2026-02-13T13:18:00,799.70,Settlement completed
TXN100149,UTR898256825882,BATCH80789,settled,2026-01-03T06:51:00,1499.48,Settlement completed
TXN100150,UTR870945651991,BATCH59278,settled,2026-06-06T09:00:00,7999.02,Settlement completed
TXN100151,UTR917966220603,BATCH43852,rejected,2026-05-10T13:44:00,299.12,Invalid beneficiary account
TXN100152,UTR534484066772,BATCH49907,settled,2026-01-10T20:56:00,4999.89,Settlement completed
TXN100153,UTR174556880349,BATCH90401,settled,2026-06-08T06:30:00,999.32,Settlement completed
TXN100154,UTR695251666427,BATCH36615,settled,2026-06-06T18:04:00,999.87,Settlement completed
TXN100155,UTR935178346007,BATCH45174,settled,2026-06-28T05:49:00,149.06,Settlement completed
TXN100158,UTR246299427897,BATCH44329,settled,2026-04-07T01:16:00,999.61,Settlement completed
TXN100159,UTR547619431859,BATCH87328,settled,2026-04-09T15:58:00,999.96,Settlement completed
TXN100160,UTR899359526451,BATCH44197,settled,2026-06-11T21:16:00,499.41,Settlement completed
TXN100161,UTR344033426690,BATCH56191,settled,2026-06-18T09:11:00,1499.47,Settlement completed
TXN100162,UTR183510372816,BATCH56299,settled,2026-03-31T14:10:00,799.92,Settlement completed
TXN100163,UTR116377469763,BATCH29647,rejected,2026-06-29T01:09:00,2499.89,Invalid beneficiary account
TXN100164,UTR181588169144,BATCH74156,rejected,2026-01-23T13:29:00,499.44,Invalid beneficiary account
TXN100165,UTR354160988889,BATCH14696,settled,2026-06-06T10:43:00,149.43,Settlement completed
TXN100166,UTR199993019434,BATCH83982,settled,2026-02-17T07:57:00,149.35,Settlement completed
TXN100167,UTR823402314950,BATCH39737,settled,2026-06-20T00:20:00,2499.36,Settlement completed
TXN100168,UTR777917230484,BATCH16093,settled,2026-05-29T23:12:00,2499.09,Settlement completed
TXN100169,UTR791362953789,BATCH84114,settled,2026-05-04T15:38:00,799.75,Settlement completed
TXN100170,UTR720032360673,BATCH71697,settled,2026-01-22T01:02:00,799.46,Settlement completed
TXN100171,UTR836900987271,BATCH84024,settled,2026-03-14T21:05:00,2499.13,Settlement completed
TXN100172,UTR223628113703,BATCH20587,settled,2026-05-04T05:18:00,2499.72,Settlement completed
TXN100173,UTR895298274167,BATCH31794,pending,2026-02-18T18:21:00,7999.18,Normal T+2 settlement window
TXN100174,UTR351161143438,BATCH80301,settled,2026-05-29T03:14:00,7999.66,Settlement completed
TXN100176,UTR241199503637,BATCH97968,settled,2026-04-29T16:58:00,2499.09,Settlement completed
TXN100177,UTR102746563475,BATCH46581,settled,2026-02-23T11:16:00,7999.54,Settlement completed
TXN100178,UTR404916540138,BATCH93353,settled,2026-04-29T10:04:00,799.65,Settlement completed
TXN100180,UTR757908668971,BATCH54398,settled,2026-04-03T18:07:00,299.20,Settlement completed
TXN100181,UTR877075573865,BATCH99061,pending,2026-04-11T15:58:00,2499.19,Normal T+2 settlement window
TXN100182,UTR900438719485,BATCH88358,settled,2026-03-05T23:53:00,4999.54,Original settlement completed; refund initiated
TXN100183,UTR699066036710,BATCH83493,pending,2026-03-25T16:55:00,1499.11,Normal T+2 settlement window
TXN100185,UTR199168132639,BATCH57907,settled,2026-04-12T23:03:00,999.47,Settlement completed
TXN100186,UTR481116331696,BATCH68640,settled,2026-04-08T15:35:00,2499.18,Settlement completed
TXN100187,UTR520470759321,BATCH97155,settled,2026-02-06T13:50:00,4999.00,Settlement completed
TXN100188,UTR183478779745,BATCH78038,settled,2026-04-14T03:09:00,499.78,Settlement completed
TXN100189,UTR888350246456,BATCH70067,pending,2026-06-02T22:11:00,299.24,Normal T+2 settlement window
TXN100190,UTR628184956473,BATCH55842,settled,2026-02-16T00:25:00,999.73,Settlement completed
TXN100191,UTR417629993725,BATCH55143,settled,2026-05-22T08:04:00,1499.14,Settlement completed
TXN100192,UTR444205287712,BATCH10506,settled,2026-05-16T14:23:00,499.81,Settlement completed
TXN100193,UTR846518918620,BATCH64395,settled,2026-03-24T07:08:00,499.42,Settlement completed
TXN100194,UTR479202998799,BATCH94987,pending,2026-06-27T21:10:00,1499.49,Normal T+2 settlement window
TXN100195,UTR673583632955,BATCH66796,settled,2026-03-22T23:53:00,799.43,Settlement completed
TXN100196,UTR763116449099,BATCH60065,settled,2026-02-20T09:58:00,1499.70,Settlement completed
TXN100197,UTR444818682284,BATCH50209,rejected,2026-03-01T20:11:00,1499.66,Invalid beneficiary account
TXN100199,UTR651076542465,BATCH10239,settled,2026-01-30T14:27:00,7999.32,Settlement completed
TXN100200,UTR742826528437,BATCH44735,settled,2026-03-25T09:30:00,2499.07,Settlement completed
TXN100201,UTR722609790221,BATCH36732,settled,2026-03-31T16:33:00,2499.27,Settlement completed
TXN100202,UTR811374145100,BATCH18486,settled,2026-02-15T16:22:00,799.83,Settlement completed
TXN100203,UTR812779097110,BATCH60153,settled,2026-05-04T17:06:00,999.84,Settlement completed
TXN100204,UTR538389118975,BATCH39534,rejected,2026-02-20T20:42:00,499.38,Invalid beneficiary account
TXN100205,UTR118826679694,BATCH12031,settled,2026-01-04T00:40:00,799.74,Original settlement completed; refund initiated
TXN100206,UTR641777532084,BATCH64762,settled,2026-03-22T00:09:00,7999.58,Settlement completed
TXN100208,UTR687169200124,BATCH50871,settled,2026-01-28T23:54:00,299.25,Settlement completed
TXN100209,UTR321374989392,BATCH37112,settled,2026-03-03T08:33:00,4999.42,Settlement completed
TXN100210,UTR830494269358,BATCH30003,settled,2026-01-10T08:58:00,2499.74,Settlement completed
TXN100212,UTR397810842660,BATCH56707,settled,2026-01-06T00:05:00,2499.60,Settlement completed
TXN100213,UTR835887714414,BATCH71611,settled,2026-04-16T03:44:00,999.65,Settlement completed
TXN100214,UTR163410574600,BATCH31268,settled,2026-01-23T03:29:00,7999.91,Settlement completed
TXN100215,UTR928770418196,BATCH61929,settled,2026-01-28T08:12:00,1499.19,Settlement completed
TXN100216,UTR243659659053,BATCH28041,pending,2026-03-14T17:54:00,7999.74,Normal T+2 settlement window
TXN100217,UTR703138420210,BATCH32300,settled,2026-02-25T13:15:00,2499.76,Settlement completed
TXN100218,UTR659027355274,BATCH49947,pending,2026-03-29T21:13:00,4999.16,Normal T+2 settlement window
TXN100219,UTR918315934722,BATCH37301,settled,2026-02-02T11:34:00,2499.48,Settlement completed
TXN100220,UTR953846089971,BATCH44453,settled,2026-03-08T10:46:00,499.33,Settlement completed
TXN100221,UTR486617462177,BATCH19385,settled,2026-03-12T05:18:00,1499.34,Settlement completed
TXN100222,UTR920278062197,BATCH87458,pending,2026-03-02T18:25:00,799.40,Normal T+2 settlement window
TXN100223,UTR676975994591,BATCH59201,settled,2026-02-18T11:39:00,799.08,Settlement completed
TXN100224,UTR507899718968,BATCH26806,rejected,2026-02-04T07:48:00,149.96,Invalid beneficiary account
TXN100225,UTR692335364880,BATCH89947,settled,2026-03-17T19:44:00,1499.49,Settlement completed
TXN100226,UTR107433441235,BATCH32592,pending,2026-04-08T10:23:00,2499.49,Normal T+2 settlement window
TXN100227,UTR620151110151,BATCH33598,pending,2026-02-15T12:53:00,1499.49,Normal T+2 settlement window
TXN100228,UTR786044379966,BATCH13992,settled,2026-05-16T18:01:00,299.63,Original settlement completed; refund initiated
TXN100229,UTR493762753078,BATCH24363,settled,2026-04-13T10:57:00,4999.26,Settlement completed
TXN100230,UTR519458784346,BATCH70857,settled,2026-02-27T02:18:00,999.39,Settlement completed
TXN100231,UTR954023499698,BATCH31137,settled,2026-05-26T20:24:00,149.41,Settlement completed
TXN100232,UTR591852889070,BATCH31335,settled,2026-06-07T07:07:00,799.67,Original settlement completed; refund initiated
TXN100233,UTR217025087054,BATCH13861,settled,2026-03-01T08:16:00,7999.23,Settlement completed
TXN100234,UTR309660189208,BATCH84978,pending,2026-06-03T06:43:00,4999.83,Normal T+2 settlement window
TXN100235,UTR919096631634,BATCH84608,settled,2026-01-02T11:31:00,1499.83,Settlement completed
TXN100236,UTR880764956794,BATCH65802,settled,2026-05-13T13:17:00,299.41,Settlement completed
TXN100237,UTR182828624526,BATCH96138,pending,2026-06-29T20:18:00,499.89,Normal T+2 settlement window
TXN100238,UTR426295047954,BATCH37006,settled,2026-03-02T19:11:00,1499.76,Settlement completed
TXN100239,UTR605101757290,BATCH50132,pending,2026-02-23T21:38:00,299.46,Normal T+2 settlement window
TXN100240,UTR381604525459,BATCH82285,settled,2026-04-15T14:09:00,4999.57,Settlement completed
TXN100241,UTR390343013932,BATCH14713,settled,2026-05-15T17:11:00,299.57,Settlement completed
TXN100242,UTR907881933220,BATCH72908,settled,2026-05-02T15:14:00,799.66,Settlement completed
TXN100243,UTR831330318422,BATCH73160,settled,2026-03-11T08:26:00,2499.85,Settlement completed
TXN100244,UTR734421564892,BATCH38944,settled,2026-03-24T19:41:00,149.65,Settlement completed
TXN100245,UTR939464853809,BATCH58357,settled,2026-02-16T01:50:00,4999.94,Settlement completed
TXN100246,UTR235521476953,BATCH33193,settled,2026-03-11T19:34:00,149.65,Settlement completed
TXN100247,UTR249956662711,BATCH93816,settled,2026-03-05T03:39:00,149.78,Settlement completed
TXN100249,UTR795933528608,BATCH39202,settled,2026-02-23T16:00:00,2499.96,Settlement completed
TXN100250,UTR666701732864,BATCH16970,settled,2026-02-28T21:10:00,149.17,Settlement completed
TXN100251,UTR943899021129,BATCH44339,settled,2026-05-30T19:23:00,2499.01,Settlement completed
TXN100252,UTR532498352375,BATCH62010,pending,2026-03-24T10:57:00,2499.20,Normal T+2 settlement window
TXN100253,UTR994454305480,BATCH21139,settled,2026-01-17T02:45:00,7999.44,Settlement completed
TXN100255,UTR323144547679,BATCH40605,settled,2026-01-06T00:22:00,149.68,Settlement completed
TXN100256,UTR534663055193,BATCH27102,settled,2026-06-26T07:12:00,799.93,Settlement completed
TXN100257,UTR121187248123,BATCH25764,settled,2026-04-18T12:50:00,2499.18,Settlement completed
TXN100258,UTR173025160184,BATCH84270,settled,2026-03-20T14:19:00,1499.12,Settlement completed
TXN100259,UTR677529651133,BATCH25722,rejected,2026-06-23T00:29:00,999.37,Invalid beneficiary account
TXN100260,UTR800037211839,BATCH57719,pending,2026-05-28T16:11:00,799.80,Normal T+2 settlement window
TXN100261,UTR850242244149,BATCH35091,pending,2026-05-06T23:05:00,2499.73,Normal T+2 settlement window
TXN100262,UTR331801289753,BATCH36271,settled,2026-01-29T02:48:00,1499.07,Original settlement completed; refund initiated
TXN100263,UTR711474111019,BATCH88778,settled,2026-02-22T15:51:00,999.47,Settlement completed
TXN100264,UTR997182615237,BATCH36104,settled,2026-04-09T10:17:00,4999.32,Settlement completed
TXN100265,UTR548050448655,BATCH28370,settled,2026-05-03T03:56:00,299.60,Original settlement completed; refund initiated
TXN100266,UTR839711059209,BATCH47581,settled,2026-01-20T06:33:00,149.40,Settlement completed
TXN100267,UTR209535300005,BATCH70409,settled,2026-01-10T21:16:00,499.70,Settlement completed
TXN100268,UTR124951657112,BATCH32010,settled,2026-01-25T22:42:00,499.75,Settlement completed
TXN100269,UTR113634191921,BATCH40717,settled,2026-04-27T05:54:00,4999.45,Settlement completed
TXN100270,UTR242175352777,BATCH91382,settled,2026-05-16T18:53:00,7999.60,Settlement completed
TXN100271,UTR590050393604,BATCH22915,settled,2026-02-20T11:12:00,2499.72,Settlement completed
TXN100272,UTR740246124945,BATCH17713,settled,2026-04-29T10:10:00,4999.21,Settlement completed
TXN100273,UTR627667939985,BATCH66146,settled,2026-04-07T04:57:00,7999.81,Settlement completed
TXN100274,UTR183893777737,BATCH35951,pending,2026-02-10T16:13:00,2499.99,Normal T+2 settlement window
TXN100275,UTR308092071952,BATCH33695,rejected,2026-06-22T10:32:00,7999.40,Invalid beneficiary account
TXN100277,UTR960111714131,BATCH21545,settled,2026-03-10T01:20:00,999.17,Settlement completed
TXN100279,UTR937393333426,BATCH47358,settled,2026-05-24T15:02:00,799.17,Settlement completed
TXN100280,UTR240964372996,BATCH16009,settled,2026-04-15T10:59:00,499.59,Settlement completed
TXN100281,UTR841169008348,BATCH31796,settled,2026-06-02T07:55:00,999.64,Settlement completed
TXN100282,UTR672438750062,BATCH11609,settled,2026-05-30T08:39:00,799.96,Settlement completed
TXN100283,UTR324724380441,BATCH94523,settled,2026-03-10T02:37:00,2499.51,Settlement completed
TXN100284,UTR312796885953,BATCH61505,pending,2026-02-20T07:38:00,149.67,Normal T+2 settlement window
TXN100285,UTR587726284063,BATCH45302,settled,2026-05-30T15:22:00,149.86,Settlement completed
TXN100286,UTR285704080455,BATCH32531,settled,2026-01-11T12:43:00,4999.53,Settlement completed
TXN100287,UTR933165378785,BATCH70206,settled,2026-05-12T03:38:00,2499.93,Settlement completed
TXN100289,UTR899049791953,BATCH62108,settled,2026-05-25T19:51:00,999.75,Settlement completed
TXN100290,UTR353176743832,BATCH20787,settled,2026-02-23T16:15:00,499.84,Settlement completed
TXN100292,UTR708121602805,BATCH50661,settled,2026-03-22T16:16:00,1499.42,Settlement completed
TXN100293,UTR234242319375,BATCH97614,settled,2026-05-20T03:52:00,149.73,Settlement completed
TXN100294,UTR590526964673,BATCH86486,settled,2026-01-15T11:24:00,499.43,Settlement completed
TXN100295,UTR301661104639,BATCH36324,pending,2026-01-05T13:13:00,4999.18,Normal T+2 settlement window
TXN100296,UTR583969886650,BATCH95524,settled,2026-05-27T22:03:00,4999.51,Settlement completed
TXN100297,UTR895710463222,BATCH99300,pending,2026-01-06T16:26:00,7999.95,Normal T+2 settlement window
TXN100298,UTR207124454490,BATCH73889,settled,2026-03-06T10:01:00,999.85,Settlement completed
TXN100299,UTR645811169435,BATCH28501,settled,2026-04-20T11:04:00,799.90,Settlement completed
TXN100300,UTR721793564086,BATCH81291,settled,2026-06-20T01:19:00,149.98,Settlement completed
TXN100301,UTR929861977240,BATCH71593,rejected,2026-03-09T12:29:00,499.06,Invalid beneficiary account
TXN100302,UTR916753317065,BATCH67476,rejected,2026-04-03T09:22:00,149.83,Invalid beneficiary account
