transaction_id,ledger_entry_id,entry_type,ledger_status,posted_date,reconciled_amount,reconciliation_flag
TXN100051,LEDGER789640,credit,posted,2026-02-05T12:39:00,4999.08,matched
TXN100053,LEDGER796460,credit,posted,2026-01-05T09:01:00,499.75,matched
TXN100054,LEDGER172750,credit,mismatched,2026-06-11T08:21:00,1474.59,mismatch
TXN100055,LEDGER389309,credit,pending,2026-05-21T19:03:00,799.33,pending
TXN100056,LEDGER933641,credit,pending,2026-05-29T16:49:00,149.00,pending
TXN100057,LEDGER939516,credit,posted,2026-02-17T02:11:00,299.48,matched
TXN100058,LEDGER586533,credit,posted,2026-01-19T01:35:00,7999.26,matched
TXN100059,LEDGER527675,credit,posted,2026-01-26T11:14:00,799.24,matched
TXN100060,LEDGER494867,credit,pending,2026-04-20T07:54:00,299.14,pending
TXN100061,LEDGER400763,credit,pending,2026-05-16T16:21:00,4999.51,pending
TXN100062,LEDGER705837,credit,pending,2026-03-28T03:04:00,4999.00,pending
TXN100063,LEDGER408327,credit,pending,2026-01-05T23:06:00,499.03,pending
TXN100064,LEDGER468291,credit,pending,2026-04-21T06:19:00,299.29,pending
TXN100065,LEDGER118572,credit,pending,2026-03-06T14:25:00,999.29,pending
TXN100066,LEDGER582481,credit,posted,2026-03-16T16:36:00,799.69,matched
TXN100067,LEDGER130488,credit,mismatched,2026-03-27T14:43:00,449.92,mismatch
TXN100068,LEDGER553308,credit,pending,2026-06-08T00:06:00,149.78,pending
TXN100069,LEDGER538283,credit,posted,2026-04-09T20:40:00,299.04,matched
TXN100070,LEDGER374800,credit,posted,2026-02-19T04:56:00,149.50,matched
TXN100071,LEDGER510800,credit,pending,2026-04-23T02:37:00,2499.27,pending
TXN100072,LEDGER549729,credit,posted,2026-04-14T08:02:00,499.09,matched
TXN100073,LEDGER693417,credit,posted,2026-05-22T13:20:00,799.88,matched
TXN100074,LEDGER220895,credit,posted,2026-02-25T23:50:00,2499.94,matched
TXN100075,LEDGER820611,credit,pending,2026-03-16T09:42:00,999.56,pending
TXN100076,LEDGER121236,credit,posted,2026-05-21T05:13:00,1499.57,matched
TXN100077,LEDGER750727,credit,pending,2026-05-09T16:29:00,799.94,pending
TXN100078,LEDGER186913,credit,mismatched,2026-03-17T12:21:00,7989.19,mismatch
TXN100079,LEDGER295054,credit,posted,2026-06-10T22:04:00,7999.32,matched
TXN100080,LEDGER962125,credit,pending,2026-02-27T14:51:00,499.72,pending
TXN100081,LEDGER900018,credit,mismatched,2026-03-13T01:37:00,7949.34,mismatch
TXN100082,LEDGER638429,credit,pending,2026-05-20T19:00:00,2499.50,pending
TXN100083,LEDGER508487,credit,posted,2026-05-28T09:45:00,7999.12,matched
TXN100085,LEDGER426685,credit,pending,2026-01-07T09:42:00,499.28,pending
TXN100086,LEDGER473858,reversal,posted,2026-04-20T08:22:00,-4999.64,matched
TXN100087,LEDGER519205,credit,pending,2026-02-19T06:03:00,2499.41,pending
TXN100089,LEDGER484029,credit,pending,2026-05-09T02:04:00,999.03,pending
TXN100090,LEDGER960840,credit,pending,2026-03-28T14:15:00,7999.77,pending
TXN100091,LEDGER820892,credit,mismatched,2026-03-01T04:24:00,1489.25,mismatch
TXN100092,LEDGER914086,credit,posted,2026-05-23T17:04:00,799.05,matched
TXN100094,LEDGER497840,credit,posted,2026-03-23T21:09:00,2499.50,matched
TXN100095,LEDGER262821,credit,posted,2026-02-22T04:33:00,999.71,matched
TXN100096,LEDGER605248,credit,posted,2026-01-25T03:51:00,499.58,matched
TXN100097,LEDGER998228,credit,posted,2026-04-19T18:13:00,2499.16,matched
TXN100098,LEDGER948421,credit,posted,2026-04-14T09:39:00,499.26,matched
TXN100099,LEDGER713018,reversal,posted,2026-03-22T23:50:00,-7999.74,matched
TXN100100,LEDGER716498,credit,posted,2026-03-06T17:39:00,299.08,matched
TXN100101,LEDGER130426,credit,posted,2026-05-24T03:10:00,799.07,matched
TXN100102,LEDGER483939,reversal,posted,2026-01-15T08:21:00,-999.81,matched
TXN100103,LEDGER698836,credit,posted,2026-04-13T23:12:00,149.03,matched
TXN100104,LEDGER271233,credit,posted,2026-02-24T02:52:00,999.75,matched
TXN100105,LEDGER740192,credit,posted,2026-06-09T01:21:00,799.13,matched
TXN100106,LEDGER585508,credit,pending,2026-02-12T02:55:00,149.29,pending
TXN100107,LEDGER820919,credit,pending,2026-04-18T23:57:00,1499.97,pending
TXN100108,LEDGER629014,credit,pending,2026-03-20T12:19:00,299.11,pending
TXN100109,LEDGER861004,credit,pending,2026-05-28T16:27:00,2499.77,pending
TXN100110,LEDGER728725,credit,posted,2026-03-21T19:48:00,7999.57,matched
TXN100111,LEDGER167674,credit,posted,2026-05-09T07:21:00,7999.22,matched
TXN100112,LEDGER353266,credit,pending,2026-02-28T09:10:00,799.66,pending
TXN100113,LEDGER426407,reversal,posted,2026-05-18T09:25:00,-7999.20,matched
TXN100114,LEDGER425080,credit,posted,2026-05-29T11:06:00,299.82,matched
TXN100115,LEDGER906672,credit,pending,2026-04-14T20:47:00,4999.06,pending
TXN100116,LEDGER749185,credit,posted,2026-05-16T20:54:00,4999.09,matched
TXN100117,LEDGER476802,credit,posted,2026-01-13T12:49:00,7999.60,matched
TXN100118,LEDGER373455,credit,pending,2026-02-21T00:21:00,799.31,pending
TXN100119,LEDGER698069,credit,pending,2026-05-17T20:13:00,499.26,pending
TXN100120,LEDGER876027,credit,posted,2026-04-26T14:38:00,499.33,matched
TXN100121,LEDGER905008,credit,mismatched,2026-04-01T20:21:00,449.01,mismatch
TXN100122,LEDGER900160,credit,posted,2026-03-12T10:15:00,299.09,matched
TXN100123,LEDGER284702,reversal,posted,2026-05-26T23:13:00,-299.04,matched
TXN100124,LEDGER677126,credit,posted,2026-01-02T22:29:00,799.67,matched
TXN100125,LEDGER412429,credit,posted,2026-02-28T11:00:00,7999.51,matched
TXN100126,LEDGER584597,credit,pending,2026-02-13T08:21:00,1499.92,pending
TXN100127,LEDGER833824,reversal,posted,2026-05-09T15:45:00,-1499.08,matched
TXN100129,LEDGER369075,credit,mismatched,2026-02-13T13:35:00,4949.98,mismatch
TXN100130,LEDGER692680,credit,pending,2026-05-25T08:46:00,799.90,pending
TXN100131,LEDGER498072,credit,pending,2026-05-03T07:12:00,7999.95,pending
TXN100132,LEDGER488015,credit,posted,2026-01-24T18:31:00,799.82,matched
TXN100133,LEDGER402889,credit,posted,2026-04-23T16:37:00,799.03,matched
TXN100134,LEDGER928578,credit,posted,2026-03-14T12:54:00,799.06,matched
TXN100135,LEDGER395599,credit,pending,2026-01-05T01:10:00,2499.08,pending
TXN100136,LEDGER255486,credit,posted,2026-05-09T12:30:00,299.75,matched
TXN100137,LEDGER353296,credit,posted,2026-01-19T19:03:00,299.98,matched
TXN100139,LEDGER922005,credit,posted,2026-06-11T21:03:00,4999.73,matched
TXN100140,LEDGER340646,credit,mismatched,2026-05-29T14:52:00,489.55,mismatch
TXN100141,LEDGER565374,credit,posted,2026-06-23T11:46:00,2499.27,matched
TXN100142,LEDGER540657,credit,posted,2026-04-06T17:48:00,7999.58,matched
TXN100143,LEDGER186107,credit,posted,2026-04-15T16:53:00,149.88,matched
TXN100144,LEDGER635172,credit,posted,2026-05-14T18:33:00,2499.78,matched
TXN100146,LEDGER723989,reversal,posted,2026-06-05T02:55:00,-499.77,matched
TXN100147,LEDGER380355,credit,posted,2026-05-21T20:26:00,999.52,matched
TXN100148,LEDGER989890,credit,posted,2026-02-13T18:18:00,799.70,matched
TXN100149,LEDGER116061,credit,posted,2026-01-03T11:51:00,1499.48,matched
TXN100150,LEDGER920383,credit,mismatched,2026-06-06T12:00:00,7989.02,mismatch
TXN100151,LEDGER550798,credit,pending,2026-05-10T21:44:00,299.12,pending
TXN100152,LEDGER976176,credit,posted,2026-01-11T01:56:00,4999.89,matched
TXN100153,LEDGER618211,credit,pending,2026-06-09T02:30:00,999.32,pending
TXN100154,LEDGER677339,credit,posted,2026-06-06T19:04:00,999.87,matched
TXN100155,LEDGER783710,credit,posted,2026-06-28T13:49:00,149.06,matched
TXN100158,LEDGER957114,credit,pending,2026-04-07T21:16:00,999.61,pending
TXN100159,LEDGER719782,credit,posted,2026-04-09T23:58:00,999.96,matched
TXN100160,LEDGER730279,credit,mismatched,2026-06-12T00:16:00,449.41,mismatch
TXN100161,LEDGER196905,credit,posted,2026-06-18T15:11:00,1499.47,matched
TXN100162,LEDGER396319,credit,posted,2026-03-31T19:10:00,799.92,matched
TXN100163,LEDGER767990,credit,pending,2026-06-29T09:09:00,2499.89,pending
TXN100164,LEDGER851207,credit,pending,2026-01-23T21:29:00,499.44,pending
TXN100166,LEDGER837280,credit,posted,2026-02-17T14:57:00,149.35,matched
TXN100168,LEDGER985994,credit,posted,2026-05-30T05:12:00,2499.09,matched
TXN100169,LEDGER263563,credit,pending,2026-05-05T11:38:00,799.75,pending
TXN100170,LEDGER548735,credit,mismatched,2026-01-22T04:02:00,774.46,mismatch
TXN100171,LEDGER116027,credit,posted,2026-03-15T01:05:00,2499.13,matched
TXN100172,LEDGER944887,credit,pending,2026-05-05T01:18:00,2499.72,pending
TXN100173,LEDGER959177,credit,pending,2026-02-18T22:21:00,7999.18,pending
TXN100174,LEDGER302943,credit,posted,2026-05-29T09:14:00,7999.66,matched
TXN100176,LEDGER602845,credit,pending,2026-04-30T12:58:00,2499.09,pending
TXN100177,LEDGER317244,credit,posted,2026-02-23T16:16:00,7999.54,matched
TXN100178,LEDGER552174,credit,posted,2026-04-29T15:04:00,799.65,matched
TXN100180,LEDGER163039,credit,posted,2026-04-03T23:07:00,299.20,matched
TXN100181,LEDGER360390,credit,pending,2026-04-11T19:58:00,2499.19,pending
TXN100182,LEDGER994051,reversal,posted,2026-03-06T04:53:00,-4999.54,matched
TXN100183,LEDGER177575,credit,pending,2026-03-25T20:55:00,1499.11,pending
TXN100185,LEDGER782618,credit,pending,2026-04-13T19:03:00,999.47,pending
TXN100186,LEDGER222010,credit,mismatched,2026-04-08T18:35:00,2489.18,mismatch
TXN100187,LEDGER895948,credit,mismatched,2026-02-06T16:50:00,4989.00,mismatch
TXN100188,LEDGER959415,credit,posted,2026-04-14T10:09:00,499.78,matched
TXN100189,LEDGER169634,credit,pending,2026-06-03T02:11:00,299.24,pending
TXN100190,LEDGER545822,credit,posted,2026-02-16T06:25:00,999.73,matched
TXN100191,LEDGER339983,credit,posted,2026-05-22T09:04:00,1499.14,matched
TXN100192,LEDGER932127,credit,mismatched,2026-05-16T17:23:00,474.81,mismatch
TXN100193,LEDGER902943,credit,mismatched,2026-03-24T10:08:00,489.42,mismatch
TXN100194,LEDGER145912,credit,pending,2026-06-28T01:10:00,1499.49,pending
TXN100195,LEDGER858502,credit,posted,2026-03-23T03:53:00,799.43,matched
TXN100196,LEDGER223043,credit,posted,2026-02-20T16:58:00,1499.70,matched
TXN100197,LEDGER321202,credit,pending,2026-03-02T04:11:00,1499.66,pending
TXN100199,LEDGER863214,credit,pending,2026-01-31T10:27:00,7999.32,pending
TXN100200,LEDGER583329,credit,mismatched,2026-03-25T12:30:00,2449.07,mismatch
TXN100201,LEDGER394615,credit,posted,2026-03-31T23:33:00,2499.27,matched
TXN100202,LEDGER407987,credit,posted,2026-02-15T17:22:00,799.83,matched
TXN100203,LEDGER283616,credit,posted,2026-05-05T00:06:00,999.84,matched
TXN100204,LEDGER271472,credit,pending,2026-02-21T04:42:00,499.38,pending
TXN100205,LEDGER525434,reversal,posted,2026-01-04T05:40:00,-799.74,matched
TXN100206,LEDGER782684,credit,pending,2026-03-22T20:09:00,7999.58,pending
TXN100208,LEDGER910243,credit,pending,2026-01-29T19:54:00,299.25,pending
TXN100209,LEDGER353151,credit,posted,2026-03-03T11:33:00,4999.42,matched
TXN100210,LEDGER353179,credit,pending,2026-01-11T04:58:00,2499.74,pending
TXN100212,LEDGER362222,credit,posted,2026-01-06T04:05:00,2499.60,matched
TXN100213,LEDGER659157,credit,posted,2026-04-16T09:44:00,999.65,matched
TXN100214,LEDGER188048,credit,posted,2026-01-23T09:29:00,7999.91,matched
TXN100215,LEDGER990655,credit,posted,2026-01-28T12:12:00,1499.19,matched
TXN100216,LEDGER339349,credit,pending,2026-03-14T21:54:00,7999.74,pending
TXN100217,LEDGER122882,credit,posted,2026-02-25T18:15:00,2499.76,matched
TXN100218,LEDGER856856,credit,pending,2026-03-30T01:13:00,4999.16,pending
TXN100219,LEDGER334395,credit,posted,2026-02-02T14:34:00,2499.48,matched
TXN100220,LEDGER829738,credit,pending,2026-03-09T06:46:00,499.33,pending
TXN100221,LEDGER873061,credit,posted,2026-03-12T06:18:00,1499.34,matched
TXN100222,LEDGER961034,credit,pending,2026-03-02T22:25:00,799.40,pending
TXN100223,LEDGER302487,credit,pending,2026-02-19T07:39:00,799.08,pending
TXN100224,LEDGER504945,credit,pending,2026-02-04T15:48:00,149.96,pending
TXN100225,LEDGER644865,credit,posted,2026-03-18T02:44:00,1499.49,matched
TXN100226,LEDGER507695,credit,pending,2026-04-08T14:23:00,2499.49,pending
TXN100227,LEDGER836743,credit,pending,2026-02-15T16:53:00,1499.49,pending
TXN100228,LEDGER341655,reversal,posted,2026-05-16T23:01:00,-299.63,matched
TXN100229,LEDGER223160,credit,posted,2026-04-13T15:57:00,4999.26,matched
TXN100230,LEDGER941322,credit,mismatched,2026-02-27T05:18:00,989.39,mismatch
TXN100231,LEDGER335646,credit,posted,2026-05-26T21:24:00,149.41,matched
TXN100232,LEDGER466819,reversal,posted,2026-06-07T12:07:00,-799.67,matched
TXN100233,LEDGER707494,credit,posted,2026-03-01T12:16:00,7999.23,matched
TXN100234,LEDGER107461,credit,pending,2026-06-03T10:43:00,4999.83,pending
TXN100235,LEDGER389452,credit,posted,2026-01-02T16:31:00,1499.83,matched
TXN100236,LEDGER923277,credit,posted,2026-05-13T16:17:00,299.41,matched
TXN100237,LEDGER353941,credit,pending,2026-06-30T00:18:00,499.89,pending
TXN100238,LEDGER567124,credit,posted,2026-03-02T23:11:00,1499.76,matched
TXN100239,LEDGER440925,credit,pending,2026-02-24T01:38:00,299.46,pending
TXN100240,LEDGER764868,credit,posted,2026-04-15T22:09:00,4999.57,matched
TXN100241,LEDGER351230,credit,posted,2026-05-15T19:11:00,299.57,matched
TXN100242,LEDGER300773,credit,posted,2026-05-02T16:14:00,799.66,matched
TXN100243,LEDGER800842,credit,mismatched,2026-03-11T11:26:00,2474.85,mismatch
TXN100244,LEDGER533662,credit,posted,2026-03-24T20:41:00,149.65,matched
TXN100245,LEDGER813578,credit,posted,2026-02-16T04:50:00,4999.94,matched
TXN100246,LEDGER709526,credit,mismatched,2026-03-11T22:34:00,99.65,mismatch
TXN100247,LEDGER125498,credit,pending,2026-03-05T23:39:00,149.78,pending
TXN100249,LEDGER517005,credit,posted,2026-02-24T00:00:00,2499.96,matched
TXN100250,LEDGER529735,credit,posted,2026-03-01T05:10:00,149.17,matched
TXN100251,LEDGER252360,credit,pending,2026-05-31T15:23:00,2499.01,pending
TXN100252,LEDGER194140,credit,pending,2026-03-24T14:57:00,2499.20,pending
TXN100253,LEDGER592089,credit,posted,2026-01-17T05:45:00,7999.44,matched
TXN100255,LEDGER368889,credit,posted,2026-01-06T02:22:00,149.68,matched
TXN100256,LEDGER732214,credit,pending,2026-06-27T03:12:00,799.93,pending
TXN100258,LEDGER757178,credit,posted,2026-03-20T20:19:00,1499.12,matched
TXN100259,LEDGER904305,credit,pending,2026-06-23T08:29:00,999.37,pending
TXN100260,LEDGER753768,credit,pending,2026-05-28T20:11:00,799.80,pending
TXN100261,LEDGER957819,credit,pending,2026-05-07T03:05:00,2499.73,pending
TXN100262,LEDGER979327,reversal,posted,2026-01-29T07:48:00,-1499.07,matched
TXN100263,LEDGER379337,credit,posted,2026-02-22T20:51:00,999.47,matched
TXN100264,LEDGER990748,credit,posted,2026-04-09T13:17:00,4999.32,matched
TXN100265,LEDGER518976,reversal,posted,2026-05-03T08:56:00,-299.60,matched
TXN100266,LEDGER619553,credit,posted,2026-01-20T10:33:00,149.40,matched
TXN100267,LEDGER741508,credit,posted,2026-01-10T22:16:00,499.70,matched
TXN100268,LEDGER447728,credit,posted,2026-01-25T23:42:00,499.75,matched
TXN100269,LEDGER783843,credit,pending,2026-04-28T01:54:00,4999.45,pending
TXN100270,LEDGER342138,credit,posted,2026-05-17T02:53:00,7999.60,matched
TXN100271,LEDGER252963,credit,pending,2026-02-21T07:12:00,2499.72,pending
TXN100272,LEDGER270902,credit,posted,2026-04-29T14:10:00,4999.21,matched
TXN100273,LEDGER593441,credit,posted,2026-04-07T05:57:00,7999.81,matched
TXN100274,LEDGER791483,credit,pending,2026-02-10T20:13:00,2499.99,pending
TXN100275,LEDGER393991,credit,pending,2026-06-22T18:32:00,7999.40,pending
TXN100277,LEDGER803026,credit,posted,2026-03-10T03:20:00,999.17,matched
TXN100279,LEDGER438293,credit,posted,2026-05-24T22:02:00,799.17,matched
TXN100280,LEDGER143418,credit,posted,2026-04-15T12:59:00,499.59,matched
TXN100281,LEDGER556773,credit,posted,2026-06-02T15:55:00,999.64,matched
TXN100282,LEDGER929854,credit,posted,2026-05-30T16:39:00,799.96,matched
TXN100283,LEDGER402858,credit,posted,2026-03-10T08:37:00,2499.51,matched
TXN100284,LEDGER453297,credit,pending,2026-02-20T11:38:00,149.67,pending
TXN100285,LEDGER658134,credit,posted,2026-05-30T23:22:00,149.86,matched
TXN100286,LEDGER455371,credit,mismatched,2026-01-11T15:43:00,4989.53,mismatch
TXN100287,LEDGER626059,credit,posted,2026-05-12T06:38:00,2499.93,matched
TXN100289,LEDGER462264,credit,posted,2026-05-26T02:51:00,999.75,matched
TXN100290,LEDGER558963,credit,posted,2026-02-23T18:15:00,499.84,matched
TXN100292,LEDGER277364,credit,pending,2026-03-23T12:16:00,1499.42,pending
TXN100293,LEDGER853902,credit,posted,2026-05-20T05:52:00,149.73,matched
TXN100294,LEDGER596086,credit,mismatched,2026-01-15T14:24:00,449.43,mismatch
TXN100295,LEDGER770073,credit,pending,2026-01-05T17:13:00,4999.18,pending
TXN100296,LEDGER462297,credit,posted,2026-05-27T23:03:00,4999.51,matched
TXN100297,LEDGER104016,credit,pending,2026-01-06T20:26:00,7999.95,pending
TXN100298,LEDGER370528,credit,posted,2026-03-06T15:01:00,999.85,matched
TXN100300,LEDGER250608,credit,posted,2026-06-20T05:19:00,149.98,matched
TXN100301,LEDGER142266,credit,pending,2026-03-09T20:29:00,499.06,pending
TXN100302,LEDGER230568,credit,pending,2026-04-03T17:22:00,149.83,pending
TXN100303,LEDGER702561,credit,posted,2026-06-30T22:06:00,4999.00,matched
TXN100304,LEDGER803131,credit,posted,2026-01-05T19:07:00,2499.62,matched
TXN100305,LEDGER406040,credit,posted,2026-03-10T06:23:00,7999.92,matched
TXN100306,LEDGER300679,reversal,posted,2026-03-04T04:02:00,-1499.57,matched
TXN100307,LEDGER772101,credit,pending,2026-01-04T10:36:00,299.57,pending
TXN100308,LEDGER516716,credit,posted,2026-01-11T13:40:00,299.78,matched
TXN100309,LEDGER621454,credit,pending,2026-06-28T04:33:00,7999.54,pending
TXN100310,LEDGER230210,credit,posted,2026-06-01T10:24:00,299.15,matched
TXN100311,LEDGER793477,credit,posted,2026-03-18T17:54:00,7999.72,matched
TXN100313,LEDGER945819,credit,posted,2026-06-16T17:28:00,2499.52,matched
TXN100314,LEDGER774165,credit,posted,2026-06-04T17:24:00,149.81,matched
TXN100315,LEDGER581970,credit,posted,2026-01-29T21:53:00,799.82,matched
TXN100316,LEDGER619547,credit,posted,2026-05-25T05:05:00,1499.71,matched
TXN100317,LEDGER211232,credit,posted,2026-06-25T18:48:00,999.83,matched
TXN100319,LEDGER584047,credit,posted,2026-02-17T07:16:00,2499.37,matched
TXN100320,LEDGER750688,credit,pending,2026-05-11T11:50:00,1499.66,pending
TXN100321,LEDGER505096,credit,posted,2026-02-12T15:30:00,299.66,matched
TXN100322,LEDGER694231,credit,posted,2026-02-20T11:21:00,4999.28,matched
TXN100323,LEDGER536763,credit,pending,2026-02-12T17:14:00,2499.33,pending
TXN100324,LEDGER954070,credit,posted,2026-03-13T11:51:00,149.93,matched
TXN100325,LEDGER440205,credit,posted,2026-02-22T15:58:00,4999.55,matched
TXN100326,LEDGER853146,credit,posted,2026-03-25T17:47:00,1499.37,matched
TXN100327,LEDGER203823,credit,posted,2026-03-16T22:13:00,2499.25,matched
TXN100328,LEDGER217115,credit,mismatched,2026-04-06T15:41:00,99.18,mismatch
TXN100329,LEDGER775951,credit,posted,2026-06-19T05:24:00,499.79,matched
TXN100330,LEDGER937316,reversal,posted,2026-02-11T10:11:00,-999.31,matched
TXN100331,LEDGER632996,credit,pending,2026-02-03T10:56:00,499.66,pending
TXN100332,LEDGER886440,credit,posted,2026-05-15T07:14:00,799.90,matched
TXN100333,LEDGER875517,credit,mismatched,2026-02-22T08:28:00,139.83,mismatch
TXN100334,LEDGER327525,credit,posted,2026-05-24T19:58:00,999.40,matched
TXN100335,LEDGER140663,credit,posted,2026-05-30T15:01:00,4999.47,matched
TXN100336,LEDGER390983,credit,pending,2026-02-07T14:26:00,7999.37,pending
TXN100337,LEDGER793133,credit,pending,2026-03-03T16:20:00,7999.04,pending
TXN100339,LEDGER276152,credit,posted,2026-01-08T03:13:00,2499.02,matched
TXN100340,LEDGER830067,credit,pending,2026-04-24T12:03:00,7999.16,pending
TXN100341,LEDGER766959,credit,posted,2026-03-25T11:44:00,299.45,matched
TXN100342,LEDGER108516,credit,posted,2026-03-22T13:05:00,299.10,matched
TXN100343,LEDGER906913,credit,pending,2026-01-10T18:09:00,4999.49,pending
TXN100344,LEDGER183811,reversal,posted,2026-06-29T06:12:00,-299.88,matched
TXN100345,LEDGER864554,credit,posted,2026-01-05T12:34:00,7999.42,matched
TXN100346,LEDGER440779,credit,mismatched,2026-02-16T14:06:00,7949.98,mismatch
TXN100348,LEDGER367128,credit,mismatched,2026-04-10T01:27:00,974.78,mismatch
TXN100349,LEDGER494871,credit,posted,2026-01-18T12:15:00,999.75,matched
TXN100350,LEDGER497333,credit,posted,2026-03-12T17:10:00,4999.74,matched
TXN100351,LEDGER679920,credit,posted,2026-05-26T01:41:00,999.78,matched
TXN100352,LEDGER326664,credit,pending,2026-02-25T09:42:00,299.66,pending
TXN100353,LEDGER385225,credit,posted,2026-03-24T13:35:00,799.75,matched
TXN100354,LEDGER968558,credit,mismatched,2026-02-06T15:20:00,974.09,mismatch
TXN100355,LEDGER894626,reversal,posted,2026-01-29T18:27:00,-4999.69,matched
TXN100356,LEDGER617989,credit,posted,2026-02-12T09:07:00,7999.21,matched
TXN100357,LEDGER994193,credit,pending,2026-04-02T20:45:00,299.87,pending
TXN100358,LEDGER851057,credit,posted,2026-05-30T03:30:00,4999.65,matched
TXN100359,LEDGER996115,credit,posted,2026-04-28T09:30:00,499.99,matched
TXN100360,LEDGER681560,credit,posted,2026-02-04T16:36:00,149.12,matched
TXN100361,LEDGER121696,credit,posted,2026-02-22T10:42:00,499.25,matched
TXN100362,LEDGER362611,credit,pending,2026-04-06T21:04:00,149.86,pending
TXN100363,LEDGER635223,credit,posted,2026-05-26T07:07:00,2499.21,matched
TXN100364,LEDGER979107,credit,mismatched,2026-02-28T04:37:00,4949.47,mismatch
TXN100365,LEDGER729989,reversal,posted,2026-05-19T21:52:00,-999.54,matched
TXN100366,LEDGER273937,credit,mismatched,2026-03-27T17:40:00,249.61,mismatch
TXN100367,LEDGER414671,credit,mismatched,2026-02-15T06:20:00,4974.82,mismatch
TXN100368,LEDGER327231,credit,posted,2026-02-22T19:18:00,1499.70,matched
TXN100369,LEDGER342543,credit,posted,2026-04-24T03:14:00,999.46,matched
TXN100370,LEDGER655382,credit,posted,2026-04-06T01:04:00,799.83,matched
TXN100371,LEDGER301340,credit,posted,2026-04-08T03:34:00,1499.84,matched
TXN100372,LEDGER691689,reversal,posted,2026-06-18T02:16:00,-1499.15,matched
